THIx,THIy,KNEx,KNEy,TIBx,TIBy,knee angle
0.5578125,0.529891304,0.559375,0.622282609,0.5484375,0.739130435,1314
0.559375,0.529891304,0.5609375,0.625,0.5484375,0.741847826,1299
0.5609375,0.529891304,0.5609375,0.622282609,0.5484375,0.739130435,1287
0.5625,0.529891304,0.5625,0.625,0.55,0.739130435,1281
0.565625,0.529891304,0.5640625,0.625,0.55,0.741847826,1279
0.5671875,0.529891304,0.565625,0.625,0.5515625,0.739130435,1284
0.56875,0.529891304,0.565625,0.625,0.5515625,0.739130435,1294
0.5703125,0.529891304,0.5671875,0.622282609,0.5515625,0.739130435,1310
0.571875,0.529891304,0.5671875,0.622282609,0.553125,0.739130435,1330
0.575,0.529891304,0.56875,0.625,0.553125,0.739130435,1355
0.5765625,0.529891304,0.5703125,0.625,0.553125,0.739130435,1383
0.578125,0.529891304,0.5703125,0.625,0.5546875,0.739130435,1412
0.5796875,0.529891304,0.571875,0.625,0.5546875,0.739130435,1443
0.58125,0.529891304,0.571875,0.625,0.5546875,0.739130435,1473
0.584375,0.529891304,0.575,0.625,0.55625,0.739130435,1503
0.5859375,0.529891304,0.575,0.625,0.55625,0.739130435,1533
0.5875,0.529891304,0.5765625,0.625,0.5578125,0.739130435,1561
0.590625,0.529891304,0.578125,0.625,0.5578125,0.739130435,1589
0.5921875,0.529891304,0.578125,0.625,0.5578125,0.739130435,1616
0.5953125,0.532608696,0.58125,0.625,0.559375,0.739130435,1643
0.5953125,0.532608696,0.58125,0.625,0.559375,0.739130435,1671
0.5984375,0.532608696,0.584375,0.625,0.5609375,0.739130435,1700
0.6015625,0.532608696,0.5859375,0.625,0.5625,0.736413043,1733
0.603125,0.532608696,0.5875,0.625,0.5625,0.736413043,1771
0.6046875,0.532608696,0.5890625,0.627717391,0.5640625,0.739130435,1814
0.60625,0.532608696,0.590625,0.627717391,0.565625,0.736413043,1866
0.6109375,0.535326087,0.59375,0.627717391,0.5671875,0.736413043,1926
0.6125,0.535326087,0.5953125,0.627717391,0.56875,0.736413043,1998
0.615625,0.535326087,0.596875,0.627717391,0.56875,0.736413043,2082
0.6171875,0.535326087,0.6,0.627717391,0.5703125,0.736413043,2181
0.6203125,0.535326087,0.6015625,0.627717391,0.571875,0.733695652,2294
0.625,0.535326087,0.6046875,0.627717391,0.575,0.733695652,2423
0.628125,0.535326087,0.6078125,0.627717391,0.5765625,0.733695652,2569
0.63125,0.535326087,0.6109375,0.627717391,0.578125,0.733695652,2731
0.6328125,0.535326087,0.6125,0.627717391,0.5796875,0.730978261,2908
0.6359375,0.535326087,0.615625,0.627717391,0.5828125,0.730978261,3099
0.6421875,0.535326087,0.621875,0.627717391,0.5859375,0.72826087,3301
0.646875,0.535326087,0.625,0.625,0.5890625,0.72826087,3512
0.65,0.532608696,0.628125,0.625,0.590625,0.725543478,3728
0.653125,0.532608696,0.63125,0.625,0.59375,0.725543478,3944
0.6578125,0.532608696,0.6359375,0.625,0.596875,0.722826087,4155
0.6671875,0.532608696,0.6453125,0.622282609,0.603125,0.720108696,4356
0.6703125,0.529891304,0.65,0.622282609,0.60625,0.717391304,4542
0.1796875,0.538043478,0.16875,0.635869565,0.125,0.733695652,2872
0.1859375,0.535326087,0.1734375,0.635869565,0.128125,0.733695652,3173
0.1921875,0.538043478,0.178125,0.635869565,0.1328125,0.730978261,3454
0.203125,0.538043478,0.190625,0.635869565,0.1421875,0.72826087,3714
0.209375,0.538043478,0.196875,0.638586957,0.146875,0.725543478,3954
0.215625,0.538043478,0.203125,0.638586957,0.153125,0.725543478,4173
0.221875,0.538043478,0.2109375,0.638586957,0.159375,0.725543478,4370
0.228125,0.538043478,0.21875,0.641304348,0.165625,0.725543478,4547
0.2421875,0.54076087,0.2328125,0.641304348,0.1796875,0.725543478,4701
0.2484375,0.54076087,0.240625,0.641304348,0.1875,0.725543478,4834
0.2546875,0.54076087,0.246875,0.641304348,0.1953125,0.725543478,4945
0.2609375,0.54076087,0.2546875,0.641304348,0.2015625,0.725543478,5032
0.2671875,0.538043478,0.2625,0.641304348,0.209375,0.722826087,5097
0.28125,0.535326087,0.2765625,0.638586957,0.2234375,0.720108696,5139
0.2875,0.535326087,0.284375,0.635869565,0.23125,0.717391304,5156
0.2875,0.535326087,0.284375,0.635869565,0.23125,0.717391304,5151
0.3,0.532608696,0.2984375,0.633152174,0.2484375,0.717391304,5123
0.30625,0.532608696,0.3046875,0.633152174,0.25625,0.717391304,5072
0.3125,0.529891304,0.3125,0.630434783,0.2640625,0.717391304,5001
0.325,0.527173913,0.3265625,0.630434783,0.2796875,0.717391304,4909
0.325,0.527173913,0.3265625,0.630434783,0.2796875,0.717391304,4799
0.3359375,0.524456522,0.3390625,0.625,0.2953125,0.717391304,4673
0.340625,0.52173913,0.3453125,0.625,0.303125,0.717391304,4532
0.3515625,0.519021739,0.3578125,0.619565217,0.3171875,0.717391304,4379
0.3515625,0.519021739,0.3578125,0.619565217,0.3171875,0.717391304,4215
0.3546875,0.516304348,0.3640625,0.616847826,0.325,0.717391304,4044
0.365625,0.513586957,0.375,0.614130435,0.340625,0.720108696,3866
0.3703125,0.513586957,0.38125,0.614130435,0.3484375,0.720108696,3682
0.375,0.513586957,0.3859375,0.611413043,0.3546875,0.720108696,3495
0.378125,0.510869565,0.390625,0.611413043,0.3625,0.722826087,3304
0.3828125,0.510869565,0.3953125,0.611413043,0.36875,0.722826087,3111
0.390625,0.508152174,0.4046875,0.608695652,0.3828125,0.722826087,2917
0.3953125,0.510869565,0.409375,0.608695652,0.3890625,0.722826087,2721
0.403125,0.508152174,0.4171875,0.605978261,0.4015625,0.722826087,2525
0.403125,0.508152174,0.4171875,0.605978261,0.4015625,0.722826087,2328
0.40625,0.510869565,0.421875,0.605978261,0.4078125,0.725543478,2133
0.4140625,0.510869565,0.4296875,0.605978261,0.421875,0.725543478,1940
0.415625,0.510869565,0.4328125,0.605978261,0.428125,0.72826087,1751
0.41875,0.510869565,0.4359375,0.605978261,0.4328125,0.72826087,1568
0.421875,0.513586957,0.4390625,0.605978261,0.4390625,0.72826087,1393
0.425,0.513586957,0.4421875,0.608695652,0.4453125,0.72826087,1229
0.43125,0.516304348,0.4484375,0.608695652,0.4546875,0.72826087,1078
0.434375,0.516304348,0.453125,0.608695652,0.4609375,0.72826087,943
0.4375,0.519021739,0.4546875,0.608695652,0.465625,0.72826087,826
0.440625,0.52173913,0.4578125,0.611413043,0.4703125,0.72826087,729
0.4421875,0.52173913,0.4609375,0.611413043,0.475,0.72826087,653
0.4484375,0.524456522,0.46875,0.611413043,0.484375,0.72826087,598
0.4515625,0.527173913,0.4703125,0.611413043,0.4875,0.72826087,565
0.4546875,0.527173913,0.4734375,0.614130435,0.4921875,0.72826087,554
0.4578125,0.527173913,0.478125,0.614130435,0.4953125,0.72826087,563
0.4609375,0.529891304,0.48125,0.614130435,0.5,0.730978261,591
0.46875,0.529891304,0.4890625,0.619565217,0.5078125,0.730978261,636
0.4734375,0.529891304,0.4921875,0.616847826,0.5109375,0.730978261,695
0.478125,0.529891304,0.496875,0.619565217,0.5140625,0.733695652,767
0.48125,0.532608696,0.5,0.619565217,0.5171875,0.733695652,849
0.4859375,0.532608696,0.5046875,0.619565217,0.521875,0.733695652,937
0.49375,0.532608696,0.5125,0.622282609,0.528125,0.736413043,1029
0.4984375,0.532608696,0.515625,0.619565217,0.53125,0.736413043,1124
0.503125,0.532608696,0.5203125,0.622282609,0.534375,0.739130435,1218
0.5078125,0.532608696,0.525,0.622282609,0.5359375,0.739130435,1311
0.5125,0.532608696,0.528125,0.622282609,0.5390625,0.739130435,1400
0.5203125,0.535326087,0.5359375,0.625,0.54375,0.741847826,1484
0.525,0.535326087,0.5390625,0.625,0.5453125,0.741847826,1562
0.528125,0.535326087,0.5421875,0.625,0.5484375,0.741847826,1634
0.53125,0.532608696,0.5453125,0.625,0.5515625,0.741847826,1698
0.5359375,0.532608696,0.5484375,0.625,0.55625,0.741847826,1754
0.54375,0.532608696,0.55625,0.625,0.565625,0.741847826,1802
0.546875,0.532608696,0.559375,0.622282609,0.56875,0.741847826,1841
0.5515625,0.532608696,0.5640625,0.622282609,0.5703125,0.741847826,1872
0.5546875,0.532608696,0.5671875,0.622282609,0.5734375,0.741847826,1893
0.559375,0.529891304,0.5703125,0.622282609,0.575,0.744565217,1906
0.565625,0.529891304,0.5765625,0.625,0.5765625,0.741847826,1910
0.56875,0.529891304,0.578125,0.622282609,0.578125,0.744565217,1906
0.571875,0.529891304,0.5796875,0.622282609,0.5796875,0.741847826,1893
0.5734375,0.529891304,0.58125,0.622282609,0.5796875,0.744565217,1873
0.5765625,0.532608696,0.5828125,0.625,0.58125,0.744565217,1846
0.5796875,0.532608696,0.584375,0.625,0.58125,0.744565217,1813
0.58125,0.532608696,0.5859375,0.625,0.5828125,0.744565217,1774
0.5828125,0.532608696,0.5875,0.625,0.5828125,0.747282609,1731
0.584375,0.532608696,0.5890625,0.625,0.5828125,0.744565217,1684
0.5875,0.532608696,0.590625,0.625,0.584375,0.744565217,1634
0.590625,0.529891304,0.5921875,0.625,0.584375,0.747282609,1583
0.5921875,0.529891304,0.59375,0.625,0.5859375,0.744565217,1530
0.5953125,0.529891304,0.5953125,0.625,0.5859375,0.744565217,1477
0.596875,0.529891304,0.5953125,0.627717391,0.5859375,0.747282609,1424
0.5984375,0.529891304,0.596875,0.625,0.5875,0.744565217,1373
0.6015625,0.529891304,0.5984375,0.625,0.5875,0.747282609,1323
0.603125,0.529891304,0.5984375,0.625,0.5875,0.747282609,1275
0.6046875,0.529891304,0.6,0.625,0.5890625,0.744565217,1230
0.60625,0.529891304,0.6,0.627717391,0.5890625,0.744565217,1188
0.6078125,0.529891304,0.6015625,0.627717391,0.5890625,0.747282609,1149
0.6109375,0.529891304,0.603125,0.627717391,0.5890625,0.744565217,1113
0.6109375,0.529891304,0.603125,0.627717391,0.590625,0.744565217,1081
0.6140625,0.529891304,0.60625,0.627717391,0.590625,0.744565217,1052
0.615625,0.529891304,0.60625,0.627717391,0.590625,0.744565217,1026
0.6171875,0.529891304,0.6078125,0.625,0.5921875,0.744565217,1004
