THIx,THIy,KNEx,KNEy,TIBx,TIBy,knee angle
0.2375,0.5271739130434783,0.2296875,0.625,0.178125,0.7065217391304348,1956
0.24375,0.5271739130434783,0.2375,0.625,0.184375,0.7065217391304348,2038
0.25,0.5271739130434783,0.2453125,0.625,0.1921875,0.7038043478260869,2137
0.25625,0.5271739130434783,0.2515625,0.625,0.1984375,0.7038043478260869,2252
0.2703125,0.5271739130434783,0.265625,0.625,0.2125,0.7038043478260869,2382
0.2765625,0.5244565217391305,0.2734375,0.6222826086956522,0.2203125,0.7010869565217391,2529
0.2828125,0.5244565217391305,0.2796875,0.6195652173913043,0.228125,0.6983695652173914,2691
0.2875,0.5217391304347826,0.2875,0.6195652173913043,0.2359375,0.6983695652173914,2868
0.29375,0.5217391304347826,0.29375,0.6168478260869565,0.2421875,0.6983695652173914,3059
0.3,0.5190217391304348,0.3,0.6168478260869565,0.25,0.6983695652173914,3263
0.3109375,0.5163043478260869,0.3125,0.6114130434782609,0.265625,0.6983695652173914,3477
0.315625,0.5135869565217391,0.3203125,0.6114130434782609,0.2734375,0.6956521739130435,3700
0.3203125,0.5108695652173914,0.325,0.6086956521739131,0.28125,0.6983695652173914,3927
0.3265625,0.5108695652173914,0.33125,0.6086956521739131,0.2875,0.6956521739130435,4155
0.33125,0.5108695652173914,0.3375,0.6059782608695652,0.2953125,0.6956521739130435,4380
0.340625,0.5054347826086957,0.35,0.6032608695652174,0.309375,0.6983695652173914,4596
0.340625,0.5054347826086957,0.35,0.6032608695652174,0.309375,0.6983695652173914,4797
0.35,0.5027173913043478,0.359375,0.6005434782608695,0.3234375,0.6983695652173914,4980
0.3546875,0.5027173913043478,0.3640625,0.6005434782608695,0.3296875,0.7010869565217391,5140
0.3578125,0.5,0.36875,0.5978260869565217,0.3359375,0.7010869565217391,5274
0.3625,0.5,0.375,0.5978260869565217,0.34375,0.7038043478260869,5379
0.365625,0.5,0.378125,0.5978260869565217,0.35,0.7038043478260869,5453
0.3734375,0.49728260869565216,0.3875,0.595108695652174,0.3640625,0.7065217391304348,5496
0.3765625,0.49728260869565216,0.3921875,0.595108695652174,0.3703125,0.7065217391304348,5508
0.38125,0.49728260869565216,0.396875,0.595108695652174,0.3765625,0.7092391304347826,5491
0.384375,0.5,0.4,0.595108695652174,0.3828125,0.7092391304347826,5445
0.3875,0.5,0.403125,0.595108695652174,0.3890625,0.7119565217391305,5373
0.39375,0.5,0.4109375,0.595108695652174,0.4015625,0.7119565217391305,5277
0.396875,0.5,0.4140625,0.595108695652174,0.4078125,0.7119565217391305,5160
0.4,0.5027173913043478,0.4171875,0.595108695652174,0.4125,0.7146739130434783,5024
0.403125,0.5027173913043478,0.421875,0.595108695652174,0.41875,0.7146739130434783,4873
0.4046875,0.5027173913043478,0.4234375,0.595108695652174,0.425,0.7146739130434783,4709
0.4109375,0.5081521739130435,0.4296875,0.5978260869565217,0.4359375,0.7146739130434783,4535
0.4140625,0.5081521739130435,0.4328125,0.5978260869565217,0.440625,0.7146739130434783,4353
0.415625,0.5081521739130435,0.4359375,0.5978260869565217,0.4453125,0.7146739130434783,4164
0.41875,0.5108695652173914,0.4390625,0.6005434782608695,0.45,0.7146739130434783,3971
0.421875,0.5135869565217391,0.4421875,0.6005434782608695,0.4546875,0.7146739130434783,3774
0.428125,0.5163043478260869,0.4484375,0.6005434782608695,0.4625,0.7146739130434783,3574
0.4296875,0.5163043478260869,0.45,0.6032608695652174,0.4671875,0.717391304347826,3373
0.4328125,0.5190217391304348,0.453125,0.6032608695652174,0.471875,0.717391304347826,3169
0.4359375,0.5190217391304348,0.45625,0.6032608695652174,0.4765625,0.717391304347826,2963
0.4390625,0.5190217391304348,0.4609375,0.6059782608695652,0.4796875,0.717391304347826,2756
0.446875,0.5217391304347826,0.4671875,0.6059782608695652,0.4859375,0.720108695652174,2547
0.4515625,0.5217391304347826,0.4703125,0.6086956521739131,0.4890625,0.720108695652174,2337
0.4546875,0.5217391304347826,0.4734375,0.6086956521739131,0.4921875,0.720108695652174,2127
0.459375,0.5217391304347826,0.4765625,0.6086956521739131,0.4953125,0.7228260869565217,1918
0.4625,0.5244565217391305,0.48125,0.6114130434782609,0.5,0.7228260869565217,1713
0.4703125,0.5244565217391305,0.4875,0.6114130434782609,0.5046875,0.7255434782608695,1514
0.475,0.5244565217391305,0.4921875,0.6114130434782609,0.5078125,0.7255434782608695,1324
0.478125,0.5244565217391305,0.4953125,0.6114130434782609,0.5109375,0.7282608695652174,1146
0.4828125,0.5244565217391305,0.5,0.6114130434782609,0.5125,0.7282608695652174,983
0.4859375,0.5244565217391305,0.503125,0.6114130434782609,0.515625,0.7309782608695652,837
0.4953125,0.5271739130434783,0.5109375,0.6141304347826086,0.521875,0.7309782608695652,711
0.4984375,0.5271739130434783,0.5140625,0.6168478260869565,0.5234375,0.7336956521739131,608
0.5015625,0.5271739130434783,0.5171875,0.6195652173913043,0.5265625,0.7336956521739131,528
0.50625,0.5271739130434783,0.5203125,0.6195652173913043,0.528125,0.7336956521739131,472
0.509375,0.5271739130434783,0.521875,0.6195652173913043,0.53125,0.7336956521739131,440
0.515625,0.5271739130434783,0.528125,0.6168478260869565,0.5390625,0.7336956521739131,432
0.51875,0.5271739130434783,0.53125,0.6168478260869565,0.5421875,0.7336956521739131,445
0.521875,0.5271739130434783,0.5359375,0.6141304347826086,0.5453125,0.7336956521739131,477
0.525,0.5271739130434783,0.5390625,0.6141304347826086,0.546875,0.7336956521739131,526
