frame,milisec,ASIx,ASIy,PSIx,PSIy,THIx,THIy,KNEx,KNEy,TIBx,TIBy,ANKx,ANKy,TOEx,TOEy,HEEx,HEEy,hip angle,knee angle,ankle angle
64,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
65,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
66,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
67,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
68,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
69,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
70,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
71,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
72,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
73,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
74,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
75,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
76,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
77,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
78,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
79,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
81,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
82,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
83,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
84,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
85,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
86,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
87,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
88,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
89,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
90,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
91,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
92,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
93,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
94,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
95,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
96,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
97,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
98,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
99,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
101,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
102,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
103,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
104,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
105,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
106,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
107,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
108,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
109,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
111,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
112,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
113,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
114,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
115,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
116,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
117,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
118,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
119,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
120,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
121,None,None,None,None,None,0.91875,0.49166666666666664,0.9109375,0.6,0.940625,0.6736111111111112,None,None,None,None,None,None,None,None,None
